disengagement_description,disengagement_category
"The ADS incorrectly perceived an element in the surrounding environment, which resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.",planning issues
"The ADS incorrectly predicted the behavior of another road user, which resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.",perception issues
"The ADS incorrectly perceived an element in the surrounding environment, which resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.",planning issues
"The ADS incorrectly perceived an element in the surrounding environment, which resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.",planning issues
"The ADS generated a motion plan that would have placed the vehicle in an incorrect location on the roadway, requiring the Safety Driver to disengage.  The Safety Driver was able to safely take control of the vehicle.",planning issues
A discrepancy in the onboard map resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.,planning issues
The ADS initiated a disengagement due to a diagnosed hardware issue.  The Safety Driver was able to safely take control of the vehicle.,hardware issues
"The ADS incorrectly perceived an element in the surrounding environment, which resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.",planning issues
The ADS initiated a disengagement due to a diagnosed hardware issue.  The Safety Driver was able to safely take control of the vehicle.,hardware issues
"The test vehicle sensor field of view was obstructed, preventing the adequate perception of the surrounding environment and requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.",perception issues
"The ADS incorrectly predicted the behavior of another road user, which resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.",perception issues
"The ADS incorrectly predicted the behavior of another road user, which resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.",perception issues
